CSDID,name,color
3514004,Brighton,#FF7F00
3514014,Cramahe,#984EA3
3514019,Hamilton-NH,#377EB8
3514020,Port Hope,#E41A1C
3514021,Cobourg,#984EA3
3514024,Alnwick/Haldimand,#A65628
3514027,Alderville First Nation,#FF7F00
3514045,Trent Hills,#A65628
3515003,Asphodel-Norwood,#E41A1C
3515005,Otonabee-South Monaghan,#984EA3
3515008,Hiawatha First Nation,#377EB8
3515013,Cavan Monaghan,#FF7F00
3515014,Peterborough,#A65628
3515015,Selwyn,#F781BF
3515019,Curve Lake First Nation 35,#F781BF
3515023,Douro-Dummer,#F781BF
3515030,Havelock-Belmont-Methuen,#A65628
3515037,North Kawartha,#4DAF4A
3515044,Trent Lakes,#377EB8
3516010,Kawartha Lakes,#4DAF4A
3518001,Pickering,#FFFF33
3518005,Ajax,#4DAF4A
3518009,Whitby,#984EA3
3518013,Oshawa,#F781BF
3518017,Clarington,#377EB8
3518020,Scugog,#377EB8
3518022,Mississaugas of Scugog Island,#984EA3
3518029,Uxbridge,#A65628
3518039,Brock,#984EA3
3519028,Vaughan,#E41A1C
3519036,Markham,#4DAF4A
3519038,Richmond Hill,#4DAF4A
3519044,Whitchurch-Stouffville,#984EA3
3519046,Aurora,#F781BF
3519048,Newmarket,#4DAF4A
3519049,King,#984EA3
3519054,East Gwillimbury,#4DAF4A
3519070,Georgina,#A65628
3519076,Chippewas of Georgina Island First Nation,#377EB8
3520005,Toronto,#377EB8
3521005,Mississauga,#FF7F00
3521010,Brampton,#F781BF
3521024,Caledon,#FF7F00
3522001,East Garafraxa,#F781BF
3522008,Amaranth,#E41A1C
3522010,Grand Valley,#FF7F00
3522012,Mono,#A65628
3522014,Orangeville,#FF7F00
3522016,Mulmur,#A65628
3522019,Melancthon,#E41A1C
3522021,Shelburne,#377EB8
3523001,Puslinch,#FF7F00
3523008,Guelph,#FF7F00
3523009,Guelph/Eramosa,#FFFF33
3523017,Erin,#377EB8
3523025,Centre Wellington,#984EA3
3523033,Mapleton,#A65628
3523043,Minto,#FF7F00
3523050,Wellington North,#F781BF
3524001,Oakville,#A65628
3524002,Burlington,#F781BF
3524009,Milton,#F781BF
3524015,Halton Hills,#A65628
3525005,Hamilton,#FFFF33
3526003,Fort Erie,#377EB8
3526011,Port Colborne,#4DAF4A
3526014,Wainfleet,#F781BF
3526021,West Lincoln,#E41A1C
3526028,Pelham,#A65628
3526032,Welland,#984EA3
3526037,Thorold,#F781BF
3526043,Niagara Falls,#FFFF33
3526047,Niagara-on-the-Lake,#377EB8
3526053,St. Catharines,#A65628
3526057,Lincoln,#F781BF
3526065,Grimsby,#377EB8
3528018,Haldimand County,#FFFF33
3528052,Norfolk County,#984EA3
3529005,Brant,#984EA3
3529006,Brantford,#FF7F00
3529021,New Credit (Part) 40A,#984EA3
3530004,North Dumfries,#A65628
3530010,Cambridge,#F781BF
3530013,Kitchener,#A65628
3530016,Waterloo,#984EA3
3530020,Wilmot,#4DAF4A
3530027,Wellesley,#4DAF4A
3530035,Woolwich,#E41A1C
3543003,Adjala-Tosorontio,#E41A1C
3543005,Clearview,#FFFF33
3543007,New Tecumseth,#A65628
3543009,Springwater,#984EA3
3543014,Bradford West Gwillimbury,#F781BF
3543015,Severn,#377EB8
3543017,Innisfil,#FF7F00
3543019,Ramara,#A65628
3543021,Essa,#E41A1C
3543023,Oro-Medonte,#984EA3
3543031,Collingwood,#A65628
3543042,Barrie,#E41A1C
3543050,Mnjikaning First Nation 32,#FF7F00
3543052,Orillia,#984EA3
3543064,Wasaga Beach,#377EB8
3543068,Tiny,#E41A1C
3543069,Christian Island 30,#984EA3
3543071,Tay,#A65628
3543072,Penetanguishene,#FF7F00
3543074,Midland,#A65628
